Nombre de lignes,Temps d'exécution
5473,14620.74294
13309,32341.85238
722,3475.55176
3756,8949.09438
35303,60477.83264000001
21387,42601.0288
14911,30671.554559999997
20781,42087.46454
33658,71688.48166
5647,8692.92852
8054,20356.83874
6987,13905.23348
9115,21337.82488
12306,26627.41514
8906,20137.9357
1223,4019.96972
14083,35013.6694
4096,12203.66862
9104,23010.20492
5551,8563.67884
9106,18392.38096
22316,52462.16628
23001,50293.1956
15851,36947.428139999996
22848,43699.827139999994
44392,91487.2718
7077,18649.57084
7097,18922.48096
17598,46085.40752
1510,5550.99714
2935,8024.74096
20040,52760.591960000005
2268,7600.081899999999
6782,13707.95146
35665,76707.18736
16279,39887.05092
8541,18469.85814
12348,26000.867940000004
7742,19132.13406
4268,7475.60772
16284,33520.73276
