Longueur du pattern,Consommation mémoire
1,8961495.0
2,8768874.0
4,8762675.0
8,8760921.0
16,1.8038911E7
26,1.2983133E7
64,8924123.0
3,8761761.0
7,1.8039319E7
12,1.2983164E7
