Nombre de lignes,Temps d'exécution
5473,14769.85852
13309,18853.25882
722,10644.500859999998
3756,11818.76016
35303,25449.70146
21387,21748.78434
14911,19094.85522
20781,23719.0961
33658,31886.03866
5647,12220.470120000002
8054,16083.07
6987,13938.74104
9115,16726.35566
12306,17764.56224
8906,16395.88572
1223,12439.19204
14083,21653.838620000002
4096,13268.668060000002
9104,16117.55304
5551,12433.52952
9106,15151.4913
22316,24113.315720000002
23001,26299.487960000002
15851,21272.23806
22848,22066.53102
44392,33972.71466
7077,15942.060379999999
7097,15634.10266
17598,22778.57406
1510,11742.423859999999
2935,12483.581680000001
20040,25932.81212
2268,12917.65264
6782,15121.27056
35665,32433.21092
16279,22701.3769
8541,16413.58194
12348,17291.95778
7742,16231.927819999999
4268,12788.634580000002
16284,20743.803
