Nombre de lignes,Temps d'exécution
5473,20347.59606
13309,43753.84724
722,4030.8779200000004
3756,12159.58628
35303,82900.58974000001
21387,62147.765199999994
14911,44509.30502
20781,61120.27212
33658,104094.47424000001
5647,11355.791780000001
8054,26593.83826
6987,18662.6242
9115,29390.978939999997
12306,37138.530920000005
8906,28251.49626
1223,4652.37904
14083,46894.67508
4096,14286.552819999999
9104,29426.48474
5551,10935.38128
9106,24407.667680000002
22316,69490.53508
23001,64355.002759999996
15851,52792.26802
22848,63360.66764000001
44392,128747.10994000001
7077,26057.881660000003
7097,23443.23588
17598,59310.941320000005
1510,6524.414760000001
2935,9890.4576
20040,67754.35661999999
2268,9898.79206
6782,18695.6518
35665,104578.76371999999
16279,51016.675760000006
8541,24067.41522
12348,35857.57504
7742,25504.112999999998
4268,9255.16734
16284,45565.12988
