Longueur du pattern,Consommation mémoire
1,1.52798184E8
3,1.51887533E8
6,1.5189548E8
8,1.51897568E8
12,1.51901768E8
16,1.6237376E8
22,1.62418408E8
26,1.62448488E8
32,1.72924768E8
36,1.72933816E8
41,1.83417712E8
51,2.57583048E8
62,3.60945344E8
72,4.68659168E8
